inout_travelling,operator,network_type,rating,calldrop_category,latitude,longitude,state_name,month,year
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,1,Poor Voice Quality,22.8799443,74.2907371,Gujarat,1,2017
Outdoor,jio,4G,2,Poor Voice Quality,22.8458284,74.2613987,Gujarat,1,2017
Outdoor,jio,4G,3,Poor Voice Quality,22.8505891,74.2511291,Gujarat,1,2017
Outdoor,jio,4G,3,Satisfactory,22.8458284,74.2613987,Gujarat,1,2017
Outdoor,jio,4G,3,Satisfactory,22.8799443,74.2907371,Gujarat,1,2017
Outdoor,jio,4G,2,Poor Voice Quality,22.8592918,74.2547969,Gujarat,1,2017
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,4,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,3,Poor Voice Quality,-1,-1,NA,1,2017
Outdoor,jio,4G,3,Satisfactory,16.63943456,73.3521201,Maharashtra,1,2017
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,4,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,4,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,2,Poor Voice Quality,13.11903439,77.58017991,Karnataka,1,2017
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,4,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,5,Satisfactory,15.3526601,75.1390085,Karnataka,1,2017
Outdoor,jio,4G,5,Satisfactory,23.74004758,86.83700664,West Bengal,1,2017
Outdoor,jio,4G,5,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,3,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,4,Satisfactory,17.39856407,78.53676961,Telangana,1,2017
Outdoor,jio,4G,4,Satisfactory,28.76900057,77.14445442,NCT,1,2017
Outdoor,jio,4G,5,Satisfactory,26.17118027,85.46733598,Bihar,1,2017
Outdoor,jio,4G,5,Satisfactory,26.8705998,80.9019345,Uttar Pradesh,1,2017
Outdoor,jio,4G,5,Satisfactory,18.65673431,73.79241333,Maharashtra,1,2017
Outdoor,jio,4G,5,Satisfactory,18.57996804,73.88168152,Maharashtra,1,2017
Outdoor,jio,4G,4,Satisfactory,23.2727728,84.5359341,Jharkhand,1,2017
Outdoor,jio,4G,5,Satisfactory,12.97808179,80.26030757,Tamil Nadu,1,2017
Outdoor,jio,4G,4,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,1,Poor Voice Quality,-1,-1,NA,1,2017
Outdoor,jio,4G,5,Satisfactory,18.65673431,73.79241333,Maharashtra,1,2017
Outdoor,jio,4G,3,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,4,Satisfactory,-1,-1,NA,1,2017
Outdoor,jio,4G,1,Poor Voice Quality,19.07596961,72.87491494,Maharashtra,1,2017
Outdoor,jio,4G,5,Satisfactory,25.6047938,85.1377773,Bihar,1,2017
Outdoor,jio,4G,2,Poor Voice Quality,20.00607832,73.70874201,Maharashtra,1,2017
Outdoor,jio,4G,5,Satisfactory,22.44553083,88.4363689,West Bengal,1,2017
Outdoor,jio,4G,4,Satisfactory,25.59482708,91.88006434,Meghalaya,1,2017
Outdoor,jio,4G,4,Satisfactory,28.65814191,77.20832189,NCT,1,2017
